Tab[All]
DateTime,Provider,Symbol,Side,Type,Qty,Avg. Price,Price,Stop Price,Status,Text
6/13/2019 21:15:00.589,4,EURGBP,Buy,Market,88700,0.88973,0.00000,0.00000,Filled,
6/13/2019 21:15:00.112,4,USDCHF,Buy,Market,100000,0.99355,0.00000,0.00000,Filled,
6/13/2019 21:15:00.102,4,USDCHF,Sell,Market,100000,0.99355,0.00000,0.00000,Filled,
6/13/2019 21:00:00.392,4,USDJPY,Buy,Market,100000,0.000,0.000,0.000,Rejected,
6/13/2019 21:00:00.391,4,EURUSD,Sell,Market,88700,0.00000,0.00000,0.00000,Rejected,
6/13/2019 21:00:00.391,4,GBPUSD,Sell,Market,78800,0.00000,0.00000,0.00000,Rejected,
6/13/2019 20:57:35.600,4,USDCHF,Buy,Market,100000,0.99386,0.00000,0.00000,Filled,
6/13/2019 19:26:00.319,4,USDJPY,Sell,Market,100000,108.347,0.000,0.000,Filled,
6/13/2019 19:23:45.792,4,USDJPY,Sell,Market,100000,108.332,0.000,0.000,Filled,
6/13/2019 19:14:15.438,4,USDJPY,Buy,Market,100000,108.306,0.000,0.000,Filled,
6/13/2019 19:12:19.256,4,USDJPY,Buy,Market,100000,108.309,0.000,0.000,Filled,
6/13/2019 19:10:06.904,4,EURUSD,Buy,Market,88700,1.12779,0.00000,0.00000,Filled,
6/13/2019 19:01:37.895,4,EURGBP,Sell,Market,88700,0.88945,0.00000,0.00000,Filled,
6/13/2019 19:01:16.096,4,EURUSD,Sell,Market,88700,1.12812,0.00000,0.00000,Filled,
6/13/2019 18:49:41.618,4,EURGBP,Buy,Market,88700,0.88920,0.00000,0.00000,Filled,
6/13/2019 18:42:41.956,4,GBPUSD,Buy,Market,78800,1.26837,0.00000,0.00000,Filled,
6/13/2019 18:41:46.262,4,EURUSD,Buy,Market,88700,1.12788,0.00000,0.00000,Filled,
6/13/2019 18:41:04.326,4,EURUSD,Buy,Market,88700,1.12791,0.00000,0.00000,Filled,
6/13/2019 18:36:26.561,4,EURUSD,Sell,Market,88700,1.12827,0.00000,0.00000,Filled,
6/13/2019 18:33:42.795,4,GBPUSD,Buy,Market,78800,1.26839,0.00000,0.00000,Filled,
6/13/2019 18:28:21.825,4,GBPUSD,Sell,Market,78800,1.26877,0.00000,0.00000,Filled,
6/13/2019 18:25:15.081,4,USDCHF,Sell,Market,100000,0.99309,0.00000,0.00000,Filled,
6/13/2019 18:23:10.885,4,USDJPY,Sell,Market,100000,108.311,0.000,0.000,Filled,
6/13/2019 18:23:01.852,4,EURUSD,Buy,Market,88700,1.12806,0.00000,0.00000,Filled,
6/13/2019 18:22:42.878,4,USDCHF,Sell,Market,100000,0.99312,0.00000,0.00000,Filled,
6/13/2019 18:22:42.662,4,USDJPY,Sell,Market,100000,108.305,0.000,0.000,Filled,
6/13/2019 18:21:15.288,4,EURGBP,Sell,Market,88700,0.88932,0.00000,0.00000,Filled,
6/13/2019 18:18:46.018,4,EURUSD,Sell,Market,88700,1.12845,0.00000,0.00000,Filled,
6/13/2019 18:11:09.623,4,GBPUSD,Buy,Market,78800,1.26832,0.00000,0.00000,Filled,
6/13/2019 18:08:26.722,4,EURUSD,Buy,Market,88700,1.12783,0.00000,0.00000,Filled,
6/13/2019 18:02:56.621,4,EURGBP,Sell,Market,88700,0.88940,0.00000,0.00000,Filled,
6/13/2019 17:27:14.258,4,USDJPY,Buy,Market,100000,108.396,0.000,0.000,Filled,
6/13/2019 17:25:11.016,4,USDJPY,Buy,Market,100000,108.409,0.000,0.000,Filled,
6/13/2019 17:10:45.192,4,EURUSD,Sell,Market,88700,1.12787,0.00000,0.00000,Filled,
6/13/2019 17:04:50.962,4,USDCHF,Buy,Market,100000,0.99452,0.00000,0.00000,Filled,
6/13/2019 17:04:18.649,4,USDCHF,Buy,Market,100000,0.99462,0.00000,0.00000,Filled,
6/13/2019 16:58:27.415,4,EURUSD,Buy,Market,88700,1.12741,0.00000,0.00000,Filled,
